Date,COUNTRY_CODE,panic_index,media_hype_index,fake_news_index,sentiment_index,infodemic_index,media_coverage_index,Retornos_BTC,volatilidad,gfi,deaths_per_day,cases_per_day,musk_tweet
2020-05-28,XX,3.08,44.25,0.88,-13.54,63.96,76.82,3.686071480897355,344.7333984375,0.517932529848318,10060.0,239926.0,0
2020-05-29,XX,2.85,44.14,0.84,-13.31,62.39,75.71,-0.913557886418624,-86.626953125,0.5188332094451504,10312.0,243230.0,0
2020-05-30,XX,2.74,41.21,0.73,-12.13,61.45,76.43,2.730538972956484,261.2900390625,0.5204824147164822,8556.0,269904.0,0
2020-05-31,XX,3.75,40.92,0.65,-12.12,55.33,71.09,-2.4984292562996218,-239.35546875,0.5199122286335058,6280.0,205856.0,0
2020-06-01,XX,4.1,42.1,0.7,-11.26,55.34,71.41,7.198931640233779,706.2099609375,0.5190037816879907,7280.0,200194.0,0
2020-06-02,XX,2.92,39.1,0.5,-12.82,62.68,73.22,-6.4749474802836655,-637.46484375,0.5188186180933742,10562.0,246418.0,0
2020-06-03,XX,2.77,37.42,0.5,-14.79,60.21,73.95,1.3229694990896244,126.9140625,0.5184567052401166,11358.0,222308.0,0
2020-06-04,XX,2.45,38.31,0.5,-16.26,60.05,73.99,1.4793539385652563,143.9189453125,0.5185481979902895,10870.0,276104.0,0
2020-06-05,XX,2.39,39.2,0.59,-16.8,59.6,73.81,-1.3881075272663914,-135.103515625,0.5194715351759736,10242.0,267114.0,0
2020-06-06,XX,2.4,38.58,0.46,-10.19,59.91,73.41,-0.1227122158605094,-11.853515625,0.5198893546487908,8164.0,259252.0,0
2020-06-07,XX,3.24,39.33,0.45,-5.33,55.66,70.94,1.083566835863477,105.1728515625,0.518715084386635,6232.0,221980.0,0
2020-06-08,XX,3.24,41.1,0.61,-5.11,56.69,68.22,0.1294060354383242,12.63671875,0.517898982989307,8670.0,206422.0,0
2020-06-09,XX,2.38,38.83,0.34,-3.25,61.66,73.27,0.2474647666023554,24.2109375,0.5172950925080817,10222.0,252640.0,0
2020-06-10,XX,2.52,38.0,0.42,-8.39,58.86,72.95,0.756591700730524,74.39453125,0.517157611938211,10868.0,273638.0,0
2020-06-11,XX,2.2,37.19,0.46,-7.58,59.1,74.33,-5.715571914128428,-548.3134765625,0.5172825410358941,10162.0,270908.0,0
2020-06-12,XX,2.36,37.76,0.89,-6.85,58.19,73.72,1.691958379014404,159.0625,0.5177992784119989,9470.0,255486.0,0
2020-06-13,XX,3.24,38.8,1.04,-17.8,58.83,73.51,-0.0587293822661802,-5.56640625,0.5180868840230661,8798.0,267264.0,0
2020-06-14,XX,3.19,41.45,0.57,-25.93,53.06,68.34,-0.9382843818570022,-88.4892578125,0.5175133794814957,7320.0,263766.0,0
2020-06-15,XX,3.13,41.09,0.62,-25.41,52.99,70.21,0.6785862337686215,63.9140625,0.516661837516471,7976.0,249546.0,0
2020-06-16,XX,2.25,39.23,0.49,-25.4,58.93,73.19,0.9197339368026768,87.322265625,0.5170971694698305,14268.0,288774.0,0
2020-06-17,XX,2.62,38.8,0.77,-18.31,58.26,73.28,-0.6075177257296804,-57.76953125,0.5172888724922908,10960.0,286292.0,0
2020-06-18,XX,2.78,37.34,0.88,-17.2,57.7,74.17,-0.724264397501192,-68.4140625,0.5174361002975782,10648.0,286686.0,0
2020-06-19,XX,2.32,36.71,0.52,-16.11,58.29,73.23,-1.3243316204145583,-123.822265625,0.5186149901336023,12694.0,361588.0,0
2020-06-20,XX,2.47,37.84,0.48,-4.63,56.26,72.28,0.4760633072752032,44.322265625,0.5193625677413974,8870.0,371222.0,0
2020-06-21,XX,3.12,39.31,0.58,3.09,53.51,70.07,-0.3081241183796443,-28.7109375,0.517693865331531,9178.0,185856.0,0
2020-06-22,XX,3.49,41.69,1.13,12.59,52.98,69.86,3.6420399315631338,345.087890625,0.5170018252314602,7590.0,284248.0,0
2020-06-23,XX,2.52,38.58,0.7,12.68,59.48,71.29,-0.1977301049161919,-19.0595703125,0.5171646808032668,11164.0,337078.0,0
2020-06-24,XX,2.86,37.62,0.51,12.94,58.08,71.54,-3.337092327377984,-316.0478515625,0.5165244421463402,10934.0,342460.0,0
2020-06-25,XX,3.24,38.79,0.44,12.78,59.83,72.89,-0.5253081495321346,-48.796875,0.5163351739722611,10164.0,358628.0,0
2020-06-26,XX,2.67,39.17,0.46,11.79,58.53,73.88,-1.1059043986902697,-101.8955078125,0.5175733358146233,10160.0,385268.0,0
2020-06-27,XX,3.2,39.05,0.6,11.86,56.88,72.77,-1.2909378740095026,-117.52734375,0.5179965735129712,9382.0,352142.0,0
2020-06-28,XX,3.24,40.73,0.49,14.46,54.95,69.32,1.0796911071170563,98.19140625,0.5172484638033021,7144.0,336862.0,0
2020-06-29,XX,4.28,41.29,0.64,11.9,53.71,70.5,0.5156696867222046,47.2724609375,0.5164229801179381,8042.0,305144.0,0
2020-06-30,XX,2.82,39.35,0.6,11.52,58.56,73.18,-0.5768117633966838,-52.861328125,0.5162625221335102,10474.0,367484.0,0
2020-07-01,XX,2.54,38.38,0.46,10.48,58.38,72.17,0.983678469207803,90.33203125,0.5163340299061687,10740.0,429952.0,0
2020-07-02,XX,2.51,38.61,0.56,8.75,56.94,72.9,-1.143392491801127,-104.9150390625,0.5166084505975973,10954.0,409166.0,0
2020-07-03,XX,2.86,38.44,0.37,11.68,56.29,72.67,-0.3965412107265914,-36.1064453125,0.5171554735131183,10468.0,404928.0,0
2020-07-04,XX,3.28,38.9,0.43,11.97,55.44,73.17,0.4959953765059784,45.1845703125,0.517530019329083,9530.0,379360.0,0
2020-07-05,XX,3.03,40.89,0.38,9.03,52.43,70.51,-0.6431364974036432,-58.5458984375,0.5169852700206727,7600.0,372130.0,0
2020-07-06,XX,4.58,41.99,0.75,9.35,53.94,72.42,3.2690364054528693,301.5322265625,0.5159552061460007,8428.0,336162.0,0
2020-07-07,XX,2.92,39.19,0.51,9.9,57.21,72.98,-1.3227475028494522,-123.197265625,0.5159619725277592,12766.0,419088.0,0
2020-07-08,XX,2.56,39.28,0.5,10.47,55.54,73.08,1.884958505462196,176.0556640625,0.5159438958403727,11264.0,430084.0,0
2020-07-09,XX,3.0,38.5,0.6,11.98,57.91,72.34,-1.6076772716190906,-150.365234375,0.5163018870982641,11606.0,448146.0,0
2020-07-10,XX,2.67,37.56,0.64,9.38,56.32,74.03,0.0090516130404552,0.83984375,0.5169816620885198,11484.0,466238.0,0
2020-07-11,XX,2.75,37.83,0.67,9.0,55.72,72.26,-0.4153644618958577,-38.4609375,0.5174129715549196,10208.0,425626.0,0
2020-07-12,XX,3.95,40.6,1.09,4.96,53.4,70.42,0.3904916088340389,36.1533203125,0.5165567859487737,8570.0,385602.0,0
2020-07-13,XX,3.84,41.92,0.72,-2.99,51.3,72.09,-0.3551357868856212,-32.8857421875,0.5158607685584424,8760.0,388662.0,0
2020-07-14,XX,2.52,38.07,0.62,-6.9,56.85,71.74,-0.0043316313902609,-0.400390625,0.5156348298165158,11974.0,442180.0,0
2020-07-15,XX,2.68,38.75,0.53,-9.14,57.04,73.55,-0.5465061808117077,-50.376953125,0.5153961201368822,11792.0,458592.0,0
2020-07-16,XX,3.18,38.68,0.45,-11.25,58.31,73.4,-0.6614939463274875,-60.609375,0.5156941725413655,12330.0,489904.0,0
