,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
35,2020-02-26,162782,5542,XX,81382,982,30368,2481,2770,62,1.33,11.63,0.15,-49.35,23.54,43.0,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,8820.5224609375,50420050762
36,2020-02-27,165500,5628,XX,82739,1357,33260,2892,2814,44,1.68,14.23,0.5,-50.03,25.91,46.31,8825.09375,8932.892578125,8577.19921875,8784.494140625,8784.494140625,45470195695
37,2020-02-28,168298,5746,XX,84109,1370,36692,3432,2872,58,2.29,15.64,0.42,-56.9,27.13,48.77,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,8672.455078125,44605450443
38,2020-02-29,172086,5886,XX,85997,1888,39763,3071,2942,70,3.04,18.5,0.43,-57.02,28.47,53.28,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,8599.5087890625,35792392544
39,2020-03-01,176846,5994,XX,88348,2351,42699,2936,2997,55,2.86,17.23,1.35,-58.72,26.98,54.89,8599.7587890625,8726.796875,8471.212890625,8562.4541015625,8562.4541015625,35349164300
40,2020-03-02,180804,6172,XX,90288,1940,45583,2884,3086,89,3.0,20.38,1.18,-55.16,29.92,57.26,8563.2646484375,8921.30859375,8532.630859375,8869.669921875,8869.669921875,42857674409
41,2020-03-03,186024,6320,XX,92833,2545,48206,2623,3160,74,2.69,19.7,0.52,-53.77,29.15,54.71,8865.3876953125,8901.5986328125,8704.990234375,8787.7861328125,8787.7861328125,42386715821
42,2020-03-04,190702,6510,XX,95088,2255,51148,2942,3254,94,2.59,21.12,0.55,-48.47,31.15,55.2,8788.5419921875,8843.3662109375,8712.431640625,8755.24609375,8755.24609375,34746706368
43,2020-03-05,196358,6696,XX,97899,2811,53774,2626,3348,94,2.84,22.19,0.91,-42.41,31.76,55.65,8760.28515625,9142.0546875,8757.25390625,9078.7626953125,9078.7626953125,39698054597
44,2020-03-06,204224,6922,XX,101699,3800,55842,2068,3461,113,2.83,21.96,0.59,-37.15,31.69,57.05,9078.30859375,9167.6953125,9032.0791015625,9122.5458984375,9122.5458984375,40826885651
45,2020-03-07,212474,7132,XX,105767,4068,58334,2492,3565,104,3.38,24.68,0.69,-32.29,34.35,57.43,9121.6005859375,9163.220703125,8890.744140625,8909.9541015625,8909.9541015625,36216930370
46,2020-03-08,220330,7614,XX,109737,3970,60671,2337,3806,241,4.03,28.3,0.79,-31.0,34.49,58.12,8908.2060546875,8914.34375,8105.2529296875,8108.1162109375,8108.1162109375,39973102121
47,2020-03-09,228726,7994,XX,113743,4006,62488,1817,4006,200,5.23,29.85,0.8,-33.64,36.41,61.18,8111.146484375,8177.79345703125,7690.09814453125,7923.64453125,7923.64453125,46936995808
48,2020-03-10,238538,8546,XX,118565,4822,64376,1888,4268,262,4.78,28.57,0.93,-38.29,35.18,60.74,7922.14697265625,8136.9453125,7814.76318359375,7909.7294921875,7909.7294921875,42213940994
49,2020-03-11,253938,9236,XX,125868,7303,66973,2597,4622,354,4.26,31.24,0.73,-46.59,37.96,61.62,7910.08984375,7950.814453125,7642.8125,7911.43017578125,7911.43017578125,38682762605
